Expediente;Período;Legislatura;Fecha;Proponente;Parlamento;Título;Objeto
07691/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;12/05/2021;Congreso;Acción Popular;LEY DE LA EQUIDAD DE BENEFICIOS EN LA REGIÓN DE LA AMAZONIA;Propone modificar la Ley 27037, Ley de Promoción de la Inversión en la Amazonia, restituida plenamente por la Ley 29742, Ley que deroga los Decretos Legislativos 977 y 978 y restituye la plena vigencia de la Ley 27037, así como sus normas modificadoras, complementarias, disposición finles y reglamentaria.
07690/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;12/05/2021;Congreso;Partido Morado;LEY QUE REGULA LA FIRMA DE CONTRATOS ENTRE EL ESTADO PERUANO Y EMPRESAS QUE NO HAYAN CUMPLIDO CON LA REMEDIACIÓN AMBIENTAL;Propone regular la firma de contrato entre el Estado y las empresas que no hayan cumplido con la remediación ambiental.
07689/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;12/05/2021;Congreso;Frente Popular Agrícola del Perú;LEY PROMUEVE LA PARTICIPACIÓN DE MUNICIPALIDADES DISTRITALES, DE CENTROS POBLADOS Y ANEXOS EN ACTIVIDADES DE INCLUSIÓN FINANCIERA;Propone modernizar la participación de las municipalidades de distritos, centro poblado y anexos en la extensión de servicios del Banco de la Nación a las pablaciones más alejadas del Perú.
07688/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;12/05/2021;Congreso;Acción Popular;"LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CREACIÓN DE LA UNIDAD EJECUTORA """"RED DE SALUD YANAHUANCA"""", EN EL DEPARTAMENTO DE PASCO";"Propone declarar de necesidad pública e interés nacional la creación de la Unidad Ejecutora """"Red de Salud Yanahuanca"""", en el departamento de Huánuco"
07687/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;12/05/2021;Congreso;Acción Popular;LEY QUE DECLARA DE NECESIDAD PÚBLICA Y UTILIDAD PÚBLICA EL MEJORAMINTO Y EQUIPAMIENTO DE LOS SERVICIOS DE SALUD DEL CENTRO DE SALUD HUACAYBAMBA, EN EL DISTRITO Y PROVINCIA DE HUACAYBAMBA, DEL DEPARTAMENTO DE HUÁNUCO;Propone declarar de necesidad y utilidad pública el Mejoramiento y Equipamiento de los Servicios de Salud del Centro de Salud Huacaybamba, en el distrito y provincia de Huacaybamba en el departamento de Huánuco.
07686/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;12/05/2021;Congreso;Acción Popular;LEY QUE DECLARA DE INTERÉS NACIONAL Y DE NECESIDAD PÚBLICA LA CONSTRUCCIÓN E IMPLEMENTACIÓN DE UN ESTABLECIMIENTO DE SALUD DE LA RED ASISTENCIAL ESSALUD EN LA PROVINCIA DE MARAÑON, DEPARTAMENTO DE HUÁNUCO;Propone declarar de interés público, la construcción e implementación de un Establecimiento de Salud de la Red Asistencial EsSalud en la provincia de Marañon, departamento de Huánuco.
07685/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;12/05/2021;Congreso;Acción Popular;LEY QUE AUTORIZA DE MANERA EXCEPCIONAL LA INCORPORACIÓN DEL PERSONAL NOMBRADO AL GRUPO OCUPACIONAL Y LINEA DE CARRERA DEL MINISTERIO DE SALUD, SUS ORGANISMOS PUBLICOS Y LOS GOBIERNOS REGIONALES, EN LA UNIDADES EJECUTORAS DE SALUD DONDE SE ENCUENTRE DESTACADO;Proponr autorísar de manera excepcional la incorporación del personal nombrado al grupo ocupacional, en el Ministerio de Salud, sus Organismos Públicos y los Gobiernos Regionales, en las unidades ejecutoras donde se encuentran destacados.
07684/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;12/05/2021;Congreso;Acción Popular;LEY QUE ESTABLECE MEDIDAS DE APOYO A LA COMPETITIVIDAD PRODUCTIVA - PROCOMPITE;Propone establecer medidas de apoyo a la Competitividad Productiva - PROCOMPITE.
07683/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;11/05/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE NECESIDAD PÚBLICA Y DE INTERÉS NACIONAL LA INCLUSIÓN, MEJORAMIENTO Y PROMOCIÓN DE LOS SERVICIOS TURISTICOS DEL VALLE DEL MONZÓN Y LA PROVINCIA DE LEONCIO PRADO;Propone declarar de necesidad pública y de interés nacional la inclusión, mejoramiento y promoción de los servicios turístico del Valle del Monzón y la provincia de Leoncio Prado, en concordancia con la Ley 29408, Ley General de Turismo.
07682/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;11/05/2021;Congreso;Nueva Constitución;LEY QUE RECONOCE LA BATALLA DE CHUA CHUA- ZEPITA COMO PATRIMONIO Y SÍMBOLO DE PATRIOTISMO E IDENTIDAD NACIONAL, OCURRIDO EN LAS PAMPAS DE CHUA CHUA DEL DISTRITO DE ZEPITAPROVINCIA DE CHUCUITO, DEPARTAMENTO DE PUNO, EN EL MARCO DEL BICENTENARIO DEL PERÚ: 200 AÑOS DE INDEPENDENCIA;Propone establecer el reconocimiento de la Batalla de Zapita como símbolo de patriotismo e identidad nacional ocurrido en las pampas de Chua Chua del departamento de Puno, en el marco del bicentenario del Perú: 200 años de independencia, con la finalidad de poner en valor la contribución historica del departamento de Puno.
